SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0267.JPG,22_18_WF_0267.JPG,840 kB,BTC5HDP,2019:01:16 16:59:49,2000x1111,42.0 mm,25-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0268.JPG,22_18_WF_0268.JPG,759 kB,BTC5HDP,2019:01:17 02:04:22,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0013.JPG,32_17_WHIP_0013.JPG,850 kB,BTC5HDP,2018:12:16 06:17:48,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0269.JPG,22_18_WF_0269.JPG,842 kB,BTC5HDP,2019:01:17 02:04:24,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0007.JPG,33_01_WF_0007.JPG,775 kB,BTC5HDP,2018:11:27 17:26:17,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0270.JPG,22_18_WF_0270.JPG,832 kB,BTC5HDP,2019:01:17 02:04:26,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0014.JPG,32_17_WHIP_0014.JPG,842 kB,BTC5HDP,2018:12:16 06:17:50,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0271.JPG,22_18_WF_0271.JPG,838 kB,BTC5HDP,2019:01:18 14:32:47,2000x1111,42.0 mm,Jan-91,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0272.JPG,22_18_WF_0272.JPG,838 kB,BTC5HDP,2019:01:18 14:32:49,2000x1111,42.0 mm,Jan-91,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0273.JPG,22_18_WF_0273.JPG,836 kB,BTC5HDP,2019:01:18 14:32:51,2000x1111,42.0 mm,Jan-91,2.4,100,Unknown (288),"Auto, Did not fire"
