"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Sort"
"80","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0015.JPG","24_04_BC_0015.JPG","878 kB","BTC5HDP",2018-11-15 12:37:50,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:37:50"
"81","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0016.JPG","24_04_BC_0016.JPG","804 kB","BTC5HDP",2018-11-15 12:38:51,"2000x1111","42.0 mm","1/279",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:38:51"
"82","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0017.JPG","24_04_BC_0017.JPG","810 kB","BTC5HDP",2018-11-15 12:38:53,"2000x1111","42.0 mm","1/332",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:38:53"
"83","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0018.JPG","24_04_BC_0018.JPG","806 kB","BTC5HDP",2018-11-15 12:38:55,"2000x1111","42.0 mm","1/332",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:38:55"
"84","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0019.JPG","24_04_BC_0019.JPG","831 kB","BTC5HDP",2018-11-15 12:39:56,"2000x1111","42.0 mm","1/318",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:39:56"
"85","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0020.JPG","24_04_BC_0020.JPG","878 kB","BTC5HDP",2018-11-15 12:39:59,"2000x1111","42.0 mm","1/347",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:39:59"
"86","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0021.JPG","24_04_BC_0021.JPG","876 kB","BTC5HDP",2018-11-15 12:40:00,"2000x1111","42.0 mm","1/347",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:40:00"
"87","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0022.JPG","24_04_BC_0022.JPG","820 kB","BTC5HDP",2018-11-15 12:41:01,"2000x1111","42.0 mm","1/292",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:41:01"
"88","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0023.JPG","24_04_BC_0023.JPG","816 kB","BTC5HDP",2018-11-15 12:41:03,"2000x1111","42.0 mm","1/318",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:41:03"
"89","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0024.JPG","24_04_BC_0024.JPG","806 kB","BTC5HDP",2018-11-15 12:41:05,"2000x1111","42.0 mm","1/318",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:41:05"
"90","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0025.JPG","24_04_BC_0025.JPG","877 kB","BTC5HDP",2018-11-15 12:42:08,"2000x1111","42.0 mm","1/304",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:42:08"
"91","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0026.JPG","24_04_BC_0026.JPG","848 kB","BTC5HDP",2018-11-15 12:42:10,"2000x1111","42.0 mm","1/332",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:42:10"
"92","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0027.JPG","24_04_BC_0027.JPG","857 kB","BTC5HDP",2018-11-15 12:42:12,"2000x1111","42.0 mm","1/332",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:42:12"
"93","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0028.JPG","24_04_BC_0028.JPG","860 kB","BTC5HDP",2018-11-15 12:43:14,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:43:14"
