,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Sort
1019,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0247.JPG,30_20_BC_0247.JPG,874 kB,BTC5HDP,4/18/17 1:39,2000x1111,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",4/18/17 1:39
1020,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0248.JPG,30_20_BC_0248.JPG,875 kB,BTC5HDP,4/18/17 1:39,2000x1111,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",4/18/17 1:39
1021,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0249.JPG,30_20_BC_0249.JPG,873 kB,BTC5HDP,4/18/17 1:39,2000x1111,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",4/18/17 1:39
1022,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0250.JPG,30_20_BC_0250.JPG,811 kB,BTC5HDP,4/20/17 4:27,2000x1111,42.0 mm,Jan-44,2.4,100,Unknown (288),"Auto, Did not fire",4/20/17 4:27
1023,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0251.JPG,30_20_BC_0251.JPG,696 kB,BTC5HDP,4/20/17 4:27,2000x1111,42.0 mm,1/1328,2.4,100,Unknown (288),"Auto, Did not fire",4/20/17 4:27
1024,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0252.JPG,30_20_BC_0252.JPG,769 kB,BTC5HDP,4/20/17 4:27,2000x1111,42.0 mm,1/861,2.4,100,Unknown (288),"Auto, Did not fire",4/20/17 4:27
760,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/31_06_WHIP_0001.JPG,31_06_WHIP_0001.JPG,767 kB,BTC5HDP,1/1/17 1:25,2000x1111,42.0 mm,Jan-79,2.4,100,Unknown (288),"Auto, Did not fire",1/1/17 1:25
761,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/31_06_WHIP_0002.JPG,31_06_WHIP_0002.JPG,820 kB,BTC5HDP,1/1/17 1:25,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",1/1/17 1:25
762,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/31_06_WHIP_0003.JPG,31_06_WHIP_0003.JPG,853 kB,BTC5HDP,1/1/17 1:25,2000x1111,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",1/1/17 1:25
763,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/31_06_WHIP_0004.JPG,31_06_WHIP_0004.JPG,862 kB,BTC5HDP,1/1/17 1:26,2000x1111,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",1/1/17 1:26
764,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/31_06_WHIP_0005.JPG,31_06_WHIP_0005.JPG,864 kB,BTC5HDP,1/1/17 1:26,2000x1111,42.0 mm,Jan-59,2.4,100,Unknown (288),"Auto, Did not fire",1/1/17 1:26
765,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/31_06_WHIP_0006.JPG,31_06_WHIP_0006.JPG,867 kB,BTC5HDP,1/1/17 1:26,2000x1111,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",1/1/17 1:26
