"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Event"
"250","./10_35_DON_000063.JPG","10_35_DON_000063.JPG","73 kB","",2019-09-28 04:10:11,"2000x1500","","0",2.8,100,"","No Flash",39
"254","./10_35_DON_000064.JPG","10_35_DON_000064.JPG","73 kB","",2019-09-28 04:11:47,"2000x1500","","0",2.8,100,"","No Flash",40
"258","./10_35_DON_000065.JPG","10_35_DON_000065.JPG","72 kB","",2019-09-28 04:11:47,"2000x1500","","0",2.8,100,"","No Flash",40
"262","./10_35_DON_000066.JPG","10_35_DON_000066.JPG","73 kB","",2019-09-28 04:11:48,"2000x1500","","0",2.8,100,"","No Flash",40
"266","./10_35_DON_000067.JPG","10_35_DON_000067.JPG","73 kB","",2019-09-28 04:13:24,"2000x1500","","0",2.8,100,"","No Flash",41
"270","./10_35_DON_000068.JPG","10_35_DON_000068.JPG","73 kB","",2019-09-28 04:13:24,"2000x1500","","0",2.8,100,"","No Flash",41
"274","./10_35_DON_000069.JPG","10_35_DON_000069.JPG","73 kB","",2019-09-28 04:13:25,"2000x1500","","0",2.8,100,"","No Flash",41
"278","./10_35_DON_000070.JPG","10_35_DON_000070.JPG","73 kB","",2019-09-28 04:15:01,"2000x1500","","0",2.8,100,"","No Flash",42
"282","./10_35_DON_000071.JPG","10_35_DON_000071.JPG","73 kB","",2019-09-28 04:15:01,"2000x1500","","0",2.8,100,"","No Flash",42
"286","./10_35_DON_000072.JPG","10_35_DON_000072.JPG","73 kB","",2019-09-28 04:15:02,"2000x1500","","0",2.8,100,"","No Flash",42
"290","./10_35_DON_000073.JPG","10_35_DON_000073.JPG","73 kB","",2019-09-28 04:16:38,"2000x1500","","0",2.8,100,"","No Flash",43
"294","./10_35_DON_000074.JPG","10_35_DON_000074.JPG","73 kB","",2019-09-28 04:16:38,"2000x1500","","0",2.8,100,"","No Flash",43
"298","./10_35_DON_000075.JPG","10_35_DON_000075.JPG","73 kB","",2019-09-28 04:16:39,"2000x1500","","0",2.8,100,"","No Flash",43
"302","./10_35_DON_000076.JPG","10_35_DON_000076.JPG","73 kB","",2019-09-28 04:18:15,"2000x1500","","0",2.8,100,"","No Flash",44
"306","./10_35_DON_000077.JPG","10_35_DON_000077.JPG","73 kB","",2019-09-28 04:18:15,"2000x1500","","0",2.8,100,"","No Flash",44
"310","./10_35_DON_000078.JPG","10_35_DON_000078.JPG","73 kB","",2019-09-28 04:18:16,"2000x1500","","0",2.8,100,"","No Flash",44
"314","./10_35_DON_000079.JPG","10_35_DON_000079.JPG","73 kB","",2019-09-28 04:19:52,"2000x1500","","0",2.8,100,"","No Flash",45
"318","./10_35_DON_000080.JPG","10_35_DON_000080.JPG","74 kB","",2019-09-28 04:19:52,"2000x1500","","0",2.8,100,"","No Flash",45
"322","./10_35_DON_000081.JPG","10_35_DON_000081.JPG","73 kB","",2019-09-28 04:19:53,"2000x1500","","0",2.8,100,"","No Flash",45
"326","./10_35_DON_000082.JPG","10_35_DON_000082.JPG","74 kB","",2019-09-28 04:21:29,"2000x1500","","0",2.8,100,"","No Flash",46
"330","./10_35_DON_000083.JPG","10_35_DON_000083.JPG","73 kB","",2019-09-28 04:21:29,"2000x1500","","0",2.8,100,"","No Flash",46
"334","./10_35_DON_000084.JPG","10_35_DON_000084.JPG","73 kB","",2019-09-28 04:21:30,"2000x1500","","0",2.8,100,"","No Flash",46
"338","./10_35_DON_000085.JPG","10_35_DON_000085.JPG","73 kB","",2019-09-28 04:23:06,"2000x1500","","0",2.8,100,"","No Flash",47
"342","./10_35_DON_000086.JPG","10_35_DON_000086.JPG","74 kB","",2019-09-28 04:23:06,"2000x1500","","0",2.8,100,"","No Flash",47
"346","./10_35_DON_000087.JPG","10_35_DON_000087.JPG","73 kB","",2019-09-28 04:23:07,"2000x1500","","0",2.8,100,"","No Flash",47
"350","./10_35_DON_000088.JPG","10_35_DON_000088.JPG","74 kB","",2019-09-28 04:24:43,"2000x1500","","0",2.8,100,"","No Flash",48
"354","./10_35_DON_000089.JPG","10_35_DON_000089.JPG","73 kB","",2019-09-28 04:24:44,"2000x1500","","0",2.8,100,"","No Flash",48
"358","./10_35_DON_000090.JPG","10_35_DON_000090.JPG","73 kB","",2019-09-28 04:24:44,"2000x1500","","0",2.8,100,"","No Flash",48
"362","./10_35_DON_000091.JPG","10_35_DON_000091.JPG","73 kB","",2019-09-28 04:26:20,"2000x1500","","0",2.8,100,"","No Flash",49
"366","./10_35_DON_000092.JPG","10_35_DON_000092.JPG","73 kB","",2019-09-28 04:26:21,"2000x1500","","0",2.8,100,"","No Flash",49
"370","./10_35_DON_000093.JPG","10_35_DON_000093.JPG","73 kB","",2019-09-28 04:26:21,"2000x1500","","0",2.8,100,"","No Flash",49
"374","./10_35_DON_000094.JPG","10_35_DON_000094.JPG","73 kB","",2019-09-28 04:27:57,"2000x1500","","0",2.8,100,"","No Flash",50
"378","./10_35_DON_000095.JPG","10_35_DON_000095.JPG","73 kB","",2019-09-28 04:27:58,"2000x1500","","0",2.8,100,"","No Flash",50
"382","./10_35_DON_000096.JPG","10_35_DON_000096.JPG","73 kB","",2019-09-28 04:27:58,"2000x1500","","0",2.8,100,"","No Flash",50
"386","./10_35_DON_000097.JPG","10_35_DON_000097.JPG","73 kB","",2019-09-28 04:29:34,"2000x1500","","0",2.8,100,"","No Flash",51
"390","./10_35_DON_000098.JPG","10_35_DON_000098.JPG","73 kB","",2019-09-28 04:29:35,"2000x1500","","0",2.8,100,"","No Flash",51
"394","./10_35_DON_000099.JPG","10_35_DON_000099.JPG","73 kB","",2019-09-28 04:29:35,"2000x1500","","0",2.8,100,"","No Flash",51
"398","./10_35_DON_000100.JPG","10_35_DON_000100.JPG","73 kB","",2019-09-28 04:31:11,"2000x1500","","0",2.8,100,"","No Flash",52
"402","./10_35_DON_000101.JPG","10_35_DON_000101.JPG","73 kB","",2019-09-28 04:31:12,"2000x1500","","0",2.8,100,"","No Flash",52
"406","./10_35_DON_000102.JPG","10_35_DON_000102.JPG","73 kB","",2019-09-28 04:31:12,"2000x1500","","0",2.8,100,"","No Flash",52
"410","./10_35_DON_000103.JPG","10_35_DON_000103.JPG","74 kB","",2019-09-28 04:32:48,"2000x1500","","0",2.8,100,"","No Flash",53
"414","./10_35_DON_000104.JPG","10_35_DON_000104.JPG","73 kB","",2019-09-28 04:32:49,"2000x1500","","0",2.8,100,"","No Flash",53
"418","./10_35_DON_000105.JPG","10_35_DON_000105.JPG","73 kB","",2019-09-28 04:32:50,"2000x1500","","0",2.8,100,"","No Flash",53
"422","./10_35_DON_000106.JPG","10_35_DON_000106.JPG","74 kB","",2019-09-28 04:34:25,"2000x1500","","0",2.8,100,"","No Flash",54
"426","./10_35_DON_000107.JPG","10_35_DON_000107.JPG","74 kB","",2019-09-28 04:34:26,"2000x1500","","0",2.8,100,"","No Flash",54
